Iteration,LR,PI_Loss,V_Loss,Entropy,WinRate_vs_Random,Elo_Diff_vs_Champ,Promoted
34,0.001,1.4305,0.302,1.4268,1.0,117.2,True
35,0.001,1.3768,0.1993,1.3777,1.0,17.4,False
36,0.001,1.3894,0.2327,1.3889,1.0,-26.1,False
37,0.001,1.3954,0.2591,1.3939,1.0,17.4,False
38,0.001,1.3983,0.2891,1.3954,1.0,79.5,True
39,0.001,1.3408,0.1949,1.341,1.0,-26.1,False
40,0.001,1.3493,0.2205,1.3491,1.0,-43.7,False
41,0.001,1.3533,0.2527,1.3522,1.0,-34.9,False
42,0.001,1.3544,0.2807,1.3526,1.0,61.4,True
43,0.001,1.3031,0.1907,1.3037,1.0,43.7,True
44,0.001,1.2759,0.1738,1.2762,1.0,-79.5,False
45,0.001,1.2996,0.2117,1.2987,1.0,-52.5,False
46,0.001,1.3162,0.244,1.3129,1.0,61.4,True
47,0.001,1.278,0.1903,1.2782,1.0,-0.0,False
48,0.001,1.2959,0.2264,1.2946,1.0,8.7,False
49,0.001,1.3073,0.2581,1.3054,1.0,-61.4,False
50,0.001,1.3155,0.2911,1.3123,1.0,26.1,False
51,0.001,1.3188,0.3233,1.3158,1.0,34.9,True
52,0.001,1.2654,0.202,1.2658,1.0,17.4,False
53,0.001,1.2743,0.2264,1.2732,1.0,-34.9,False
54,0.0001,1.3636,0.5137,1.3476,1.0,98.1,True
55,0.0001,1.3391,0.492,1.3324,1.0,-8.7,False
56,0.0001,1.3299,0.4973,1.3237,1.0,-0.0,False
57,0.0001,1.3227,0.5021,1.317,1.0,61.4,False
58,0.0001,1.319,0.5036,1.3136,1.0,43.7,False
59,0.0001,1.3105,0.5109,1.3056,1.0,107.5,True
60,0.0001,1.2906,0.451,1.2879,1.0,-79.5,False
61,0.0001,1.2894,0.4629,1.2865,1.0,26.1,False
62,0.0001,1.2847,0.4814,1.2821,1.0,-8.7,False
63,0.0001,1.2817,0.491,1.2791,1.0,-0.0,False
64,0.0001,1.2765,0.5073,1.2738,1.0,61.4,False
65,0.0001,1.274,0.5096,1.2714,1.0,-61.4,False
66,0.0001,1.2754,0.5143,1.2726,1.0,70.4,True
67,0.0001,1.2578,0.4558,1.2559,1.0,-52.5,False
68,0.0001,1.2526,0.4727,1.2507,1.0,-17.4,False
69,0.0001,1.2435,0.4876,1.2418,1.0,-26.1,False
70,0.0001,1.2358,0.4979,1.234,1.0,61.4,False
71,0.0001,1.2251,0.5058,1.2235,1.0,17.4,False
72,0.0001,1.2227,0.5115,1.221,1.0,-61.4,False
73,0.0001,1.2216,0.5076,1.2197,1.0,79.5,True
74,0.0001,1.2055,0.4512,1.2042,1.0,43.7,False
75,0.0001,1.1981,0.4683,1.1962,1.0,-34.9,False
76,0.0001,1.1907,0.4762,1.1889,1.0,-52.5,False
77,0.0001,1.1835,0.4875,1.181,1.0,8.7,False
78,0.0001,1.1724,0.499,1.17,1.0,43.7,False
79,0.0001,1.1705,0.4944,1.168,1.0,-0.0,False
80,0.0001,1.1673,0.4973,1.1652,1.0,70.4,True
81,0.0001,1.1521,0.4558,1.1512,1.0,-8.7,False
82,0.0001,1.146,0.4646,1.1446,1.0,-61.4,False
83,0.0001,1.1412,0.4684,1.1398,1.0,8.7,False
84,0.0001,1.1361,0.4804,1.1344,1.0,-34.9,False
85,0.0001,1.1313,0.4738,1.1299,1.0,-34.9,False
86,0.0001,1.1301,0.4728,1.1288,1.0,52.5,False
87,0.0001,1.1308,0.4792,1.1294,1.0,8.7,False
88,0.0001,1.1308,0.4786,1.1295,1.0,8.7,False
89,0.0001,1.1313,0.4779,1.1293,1.0,8.7,False
90,0.0001,1.132,0.5021,1.1306,1.0,70.4,True
91,0.0001,1.1173,0.4615,1.1162,1.0,-117.2,False
92,0.0001,1.1098,0.468,1.1086,1.0,8.7,False
93,0.0001,1.102,0.4769,1.1009,1.0,43.7,False
94,0.0001,1.095,0.4798,1.0937,1.0,43.7,False
95,0.0001,1.0869,0.4776,1.0856,1.0,8.7,False
