Iteration,LR,PI_Loss,V_Loss,Entropy,WinRate_vs_Random,Elo_Diff_vs_Champ,Promoted
1,0.001,1.8965,0.2397,1.7367,1.0,190.8,True
2,0.001,1.6861,0.5423,1.6862,0.925,70.4,True
3,0.001,1.6646,0.4024,1.6664,0.95,79.5,True
4,0.001,1.6526,0.3429,1.6549,0.975,137.0,True
5,0.001,1.6352,0.2975,1.6363,0.9625,34.9,True
6,0.001,1.6216,0.2743,1.6218,0.9625,8.7,False
7,0.001,1.6417,0.3293,1.6394,1.0,26.1,False
8,0.001,1.659,0.3702,1.6557,0.975,284.9,True
9,0.001,1.6285,0.2695,1.6276,0.9875,34.9,True
10,0.001,1.605,0.2479,1.604,1.0,147.2,True
11,0.001,1.5837,0.2339,1.5825,0.975,70.4,True
12,0.001,1.5582,0.2303,1.5568,1.0,17.4,False
13,0.001,1.5829,0.2735,1.5781,0.9875,107.5,True
14,0.001,1.544,0.2285,1.5428,1.0,26.1,False
15,0.001,1.5729,0.2706,1.5692,1.0,70.4,True
16,0.001,1.5294,0.2289,1.529,1.0,-0.0,False
17,0.001,1.5527,0.2698,1.5495,1.0,-0.0,False
18,0.001,1.5682,0.3071,1.5636,1.0,98.1,True
19,0.001,1.5101,0.2243,1.5093,1.0,-26.1,False
20,0.001,1.5169,0.2599,1.5149,1.0,26.1,False
21,0.001,1.5178,0.2906,1.5144,1.0,-26.1,False
22,0.001,1.5141,0.3252,1.5099,1.0,88.7,True
23,0.001,1.451,0.2159,1.4508,1.0,52.5,True
24,0.001,1.4148,0.1955,1.4151,1.0,-61.4,False
25,0.001,1.4322,0.2366,1.4311,1.0,-52.5,False
26,0.001,1.4495,0.272,1.4459,1.0,43.7,True
27,0.001,1.3998,0.2068,1.3999,1.0,43.7,True
28,0.001,1.368,0.1929,1.3689,0.9875,-26.1,False
29,0.001,1.3999,0.2311,1.3979,1.0,-0.0,False
30,0.001,1.4227,0.2607,1.4187,1.0,61.4,True
31,0.001,1.378,0.198,1.378,1.0,-52.5,False
32,0.001,1.4029,0.2349,1.4002,1.0,-34.9,False
33,0.001,1.4192,0.2676,1.4161,1.0,-34.9,False
